Temperatura,pH,O2  (mg/L),Amonio   (mg/L),TASA MORTALIDAD SI=1/NO=0
23.69,7.18,5.07,0.30,0
23.67,7.18,5.08,0.30,0
23.66,7.18,5.08,0.30,0
23.65,7.18,5.08,0.30,0
23.63,7.18,5.08,0.30,0
23.62,7.18,5.08,0.30,0
23.61,7.19,5.09,0.30,0
23.60,7.19,5.09,0.30,0
23.58,7.19,5.09,0.29,0
23.57,7.19,5.09,0.29,0
23.56,7.19,5.09,0.29,0
23.54,7.19,5.10,0.29,0
23.53,7.19,5.10,0.29,0
23.52,7.19,5.10,0.29,0
23.50,7.19,5.10,0.29,0
23.49,7.20,5.10,0.29,0
23.48,7.20,5.10,0.29,0
23.46,7.20,5.11,0.29,0
23.45,7.20,5.11,0.29,0
23.44,7.20,5.11,0.29,0
23.43,7.20,5.11,0.29,0
23.41,7.20,5.11,0.29,0
23.40,7.20,5.12,0.29,0
23.39,7.20,5.12,0.29,0
23.37,7.21,5.12,0.29,0
23.36,7.21,5.12,0.29,0
23.35,7.21,5.12,0.29,0
23.33,7.21,5.13,0.29,0
23.32,7.21,5.13,0.29,0
23.31,7.21,5.13,0.29,0
23.30,7.21,5.13,0.29,0
23.28,7.21,5.13,0.29,0
23.27,7.21,5.13,0.29,0
23.26,7.21,5.14,0.29,0
23.24,7.22,5.14,0.29,0
23.23,7.22,5.14,0.29,0
23.22,7.22,5.14,0.29,0
23.20,7.22,5.14,0.29,0
23.19,7.22,5.15,0.29,0
23.18,7.22,5.15,0.29,0
23.16,7.22,5.15,0.29,0
23.15,7.22,5.15,0.29,0
23.14,7.22,5.15,0.29,0
23.13,7.23,5.16,0.29,0
23.11,7.23,5.16,0.29,0
23.10,7.23,5.16,0.29,0
23.09,7.23,5.16,0.29,0
23.07,7.23,5.16,0.29,0
23.06,7.23,5.17,0.28,0
23.05,7.23,5.17,0.28,0
23.03,7.23,5.17,0.28,0
23.02,7.23,5.17,0.28,0
23.01,7.24,5.17,0.28,0
23.00,7.24,5.17,0.28,0
22.98,7.24,5.18,0.28,0
22.97,7.24,5.18,0.28,0
22.96,7.24,5.18,0.28,0
22.94,7.24,5.18,0.28,0
22.93,7.24,5.18,0.28,0
22.92,7.24,5.19,0.28,0
22.90,7.24,5.19,0.28,0
22.89,7.24,5.19,0.28,0
22.88,7.25,5.19,0.28,0
22.86,7.25,5.19,0.28,0
22.85,7.25,5.20,0.28,0
22.84,7.25,5.20,0.28,0
22.83,7.25,5.20,0.28,0
22.81,7.25,5.20,0.28,0
22.80,7.25,5.20,0.28,0
22.79,7.25,5.20,0.28,0
22.77,7.25,5.21,0.28,0
22.76,7.26,5.21,0.28,0
22.75,7.26,5.21,0.28,0
22.73,7.26,5.21,0.28,0
22.72,7.26,5.21,0.28,0
22.71,7.26,5.22,0.28,0
22.70,7.26,5.22,0.28,0
22.68,7.26,5.22,0.28,0
22.67,7.26,5.22,0.28,0
22.66,7.26,5.22,0.28,0
22.64,7.27,5.23,0.28,0
22.63,7.27,5.23,0.28,0
22.62,7.27,5.23,0.28,0
22.60,7.27,5.23,0.28,0
22.59,7.27,5.23,0.28,0
22.58,7.27,5.23,0.28,0
22.56,7.27,5.24,0.28,0
22.55,7.27,5.24,0.28,0
22.54,7.27,5.24,0.27,0
22.53,7.28,5.24,0.27,0
22.51,7.28,5.24,0.27,0
22.50,7.28,5.25,0.27,0
22.49,7.28,5.25,0.27,0
22.47,7.28,5.25,0.27,0
22.46,7.28,5.25,0.27,0
22.45,7.28,5.25,0.27,0
22.43,7.28,5.26,0.27,0
22.42,7.28,5.26,0.27,0
22.41,7.28,5.26,0.27,0
22.40,7.29,5.26,0.27,0
22.38,7.29,5.26,0.27,0
22.37,7.29,5.27,0.27,0
22.36,7.29,5.27,0.27,0
22.34,7.29,5.27,0.27,0
22.33,7.29,5.27,0.27,0
22.32,7.29,5.27,0.27,0
22.30,7.29,5.27,0.27,0
22.29,7.29,5.28,0.27,0
22.28,7.30,5.28,0.27,0
22.26,7.30,5.28,0.27,0
22.25,7.30,5.28,0.27,0
22.24,7.30,5.28,0.27,0
22.23,7.30,5.29,0.27,0
22.21,7.30,5.29,0.27,0
22.20,7.30,5.29,0.27,0
22.19,7.30,5.29,0.27,0
22.17,7.30,5.29,0.27,0
22.16,7.31,5.30,0.27,0
22.15,7.31,5.30,0.27,0
22.13,7.31,5.30,0.27,0
22.12,7.31,5.30,0.27,0
22.11,7.31,5.30,0.27,0
22.10,7.31,5.30,0.27,0
22.08,7.31,5.31,0.27,0
22.07,7.31,5.31,0.27,0
22.06,7.31,5.31,0.27,0
22.04,7.31,5.31,0.27,0
22.03,7.32,5.31,0.27,0
22.02,7.32,5.32,0.27,0
22.00,7.32,5.32,0.26,0
21.99,7.32,5.32,0.26,0
21.98,7.32,5.32,0.26,0
21.97,7.32,5.32,0.26,0
21.95,7.32,5.33,0.26,0
21.94,7.32,5.33,0.26,0
21.93,7.32,5.33,0.26,0
21.91,7.33,5.33,0.26,0
21.90,7.33,5.33,0.26,0
21.89,7.33,5.33,0.26,0
28.70,6.20,5.40,0.19,0
28.70,6.20,5.40,0.19,0
28.70,6.20,5.40,0.19,0
21.87,7.33,5.34,0.26,0
21.86,7.33,5.34,0.26,0
21.85,7.33,5.34,0.26,0
21.83,7.33,5.34,0.26,0
21.82,7.33,5.34,0.26,0
21.81,7.33,5.35,0.26,0
21.80,7.34,5.35,0.26,0
21.78,7.34,5.35,0.26,0
21.77,7.34,5.35,0.26,0
21.76,7.34,5.35,0.26,0
21.74,7.34,5.36,0.26,0
21.73,7.34,5.36,0.26,0
21.72,7.34,5.36,0.26,0
21.70,7.34,5.36,0.26,0
21.69,7.34,5.36,0.26,0
21.68,7.35,5.37,0.26,0
21.67,7.35,5.37,0.26,0
21.65,7.35,5.37,0.26,0
21.64,7.35,5.37,0.26,0
21.63,7.35,5.37,0.26,0
21.61,7.35,5.37,0.26,0
21.60,7.35,5.38,0.26,0
21.59,7.35,5.38,0.26,0
21.57,7.35,5.38,0.26,0
21.56,7.35,5.38,0.26,0
21.55,7.36,5.38,0.26,0
21.53,7.36,5.39,0.26,0
21.52,7.36,5.39,0.26,0
21.51,7.36,5.39,0.26,0
21.50,7.36,5.39,0.26,0
21.48,7.36,5.39,0.25,0
21.47,7.36,5.40,0.25,0
21.46,7.36,5.40,0.25,0
21.44,7.36,5.40,0.25,0
21.43,7.37,5.40,0.25,0
21.42,7.37,5.40,0.25,0
21.40,7.37,5.40,0.25,0
21.39,7.37,5.41,0.25,0
21.38,7.37,5.41,0.25,0
21.37,7.37,5.41,0.25,0
21.35,7.37,5.41,0.25,0
21.34,7.37,5.41,0.25,0
21.33,7.37,5.42,0.25,0
21.31,7.38,5.42,0.25,0
21.30,7.38,5.42,0.25,0
21.29,7.38,5.42,0.25,0
21.27,7.38,5.42,0.25,0
21.26,7.38,5.43,0.25,0
21.25,7.38,5.43,0.25,0
21.23,7.38,5.43,0.25,0
21.22,7.38,5.43,0.25,0
21.21,7.38,5.43,0.25,0
21.20,7.38,5.43,0.25,0
21.18,7.39,5.44,0.25,0
21.17,7.39,5.44,0.25,0
21.16,7.39,5.44,0.25,0
21.14,7.39,5.44,0.25,0
21.13,7.39,5.44,0.25,0
21.12,7.39,5.45,0.25,0
21.10,7.39,5.45,0.25,0
21.09,7.39,5.45,0.25,0
21.08,7.39,5.45,0.25,0
21.07,7.40,5.45,0.25,0
21.05,7.40,5.46,0.25,0
28.60,6.30,9.30,0.15,0
29.40,6.40,7.20,0.17,0
28.60,6.30,9.30,0.15,0
29.40,6.40,7.20,0.17,0
