Temperatura,pH,O2  (mg/L),Amonio   (mg/L),TASA MORTALIDAD SI=1/NO=0
32.10,7.00,2.20,0.60,0
30.40,7.00,2.20,0.60,0
30.70,7.00,1.60,0.60,0
32.30,7.00,1.40,0.70,0
31.20,7.00,2.20,0.60,0
31.20,7.00,2.20,0.60,0
30.50,7.00,1.60,0.80,0
32.10,7.00,2.20,0.60,0
30.40,7.00,2.20,0.60,0
30.70,7.00,1.60,0.60,0
32.30,7.00,1.40,0.70,0
16.58,7.77,6.10,0.16,0
16.57,7.77,6.11,0.16,0
16.55,7.77,6.11,0.16,0
16.54,7.77,6.11,0.16,0
16.53,7.77,6.11,0.16,0
16.51,7.77,6.11,0.16,0
16.50,7.77,6.11,0.16,0
16.49,7.77,6.12,0.16,0
16.48,7.77,6.12,0.16,0
16.46,7.78,6.12,0.16,0
16.45,7.78,6.12,0.16,0
16.44,7.78,6.12,0.16,0
16.42,7.78,6.13,0.16,0
16.41,7.78,6.13,0.16,0
16.40,7.78,6.13,0.16,0
16.38,7.78,6.13,0.16,0
16.37,7.78,6.13,0.16,0
16.36,7.78,6.14,0.16,0
16.34,7.79,6.14,0.16,0
16.33,7.79,6.14,0.16,0
16.32,7.79,6.14,0.16,0
31.20,7.00,2.20,0.70,0
30.50,7.00,2.20,0.70,0
31.20,7.00,2.20,0.70,0
30.50,7.00,2.20,0.70,0
31.20,7.00,2.20,0.70,0
30.50,7.00,2.20,0.70,0
16.31,7.79,6.14,0.16,0
16.29,7.79,6.14,0.16,0
16.28,7.79,6.15,0.16,0
16.27,7.79,6.15,0.16,0
16.25,7.79,6.15,0.16,0
16.24,7.79,6.15,0.16,0
16.23,7.80,6.15,0.15,0
16.21,7.80,6.16,0.15,0
16.20,7.80,6.16,0.15,0
16.19,7.80,6.16,0.15,0
16.18,7.80,6.16,0.15,0
16.16,7.80,6.16,0.15,0
16.15,7.80,6.17,0.15,0
16.14,7.80,6.17,0.15,0
16.12,7.80,6.17,0.15,0
16.11,7.80,6.17,0.15,0
16.10,7.81,6.17,0.15,0
16.08,7.81,6.18,0.15,0
16.07,7.81,6.18,0.15,0
16.06,7.81,6.18,0.15,0
16.04,7.81,6.18,0.15,0
16.03,7.81,6.18,0.15,0
31.20,7.00,2.20,0.80,0
31.20,7.00,2.20,0.80,0
31.20,7.00,1.40,0.60,0
31.20,7.00,2.20,0.80,0
31.20,7.00,2.20,0.80,0
31.20,7.00,1.40,0.60,0
31.20,7.00,2.20,0.80,0
31.20,7.00,2.20,0.80,0
31.20,7.00,1.40,0.60,0
16.02,7.81,6.18,0.15,0
16.01,7.81,6.19,0.15,0
15.99,7.81,6.19,0.15,0
15.98,7.82,6.19,0.15,0
15.97,7.82,6.19,0.15,0
15.95,7.82,6.19,0.15,0
15.94,7.82,6.20,0.15,0
15.93,7.82,6.20,0.15,0
15.91,7.82,6.20,0.15,0
15.90,7.82,6.20,0.15,0
15.89,7.82,6.20,0.15,0
15.88,7.82,6.21,0.15,0
15.86,7.83,6.21,0.15,0
15.85,7.83,6.21,0.15,0
15.84,7.83,6.21,0.15,0
15.82,7.83,6.21,0.15,0
15.81,7.83,6.21,0.15,0
15.80,7.83,6.22,0.15,0
15.78,7.83,6.22,0.15,0
15.77,7.83,6.22,0.15,0
15.76,7.83,6.22,0.15,0
31.20,7.00,2.20,0.60,0
31.20,7.00,2.20,0.80,0
32.00,7.00,1.60,0.80,0
30.30,7.00,1.40,0.60,0
31.20,7.00,2.20,0.60,0
31.20,7.00,2.20,0.80,0
32.00,7.00,1.60,0.80,0
30.30,7.00,1.40,0.60,0
31.20,7.00,2.20,0.60,0
31.20,7.00,2.20,0.80,0
32.00,7.00,1.60,0.80,0
30.30,7.00,1.40,0.60,0
15.74,7.83,6.22,0.15,0
15.73,7.84,6.23,0.15,0
15.72,7.84,6.23,0.15,0
15.71,7.84,6.23,0.14,0
15.69,7.84,6.23,0.14,0
15.68,7.84,6.23,0.14,0
15.67,7.84,6.24,0.14,0
15.65,7.84,6.24,0.14,0
15.64,7.84,6.24,0.14,0
15.63,7.84,6.24,0.14,0
15.61,7.85,6.24,0.14,0
15.60,7.85,6.24,0.14,0
15.59,7.85,6.25,0.14,0
15.58,7.85,6.25,0.14,0
15.56,7.85,6.25,0.14,0
15.55,7.85,6.25,0.14,0
15.54,7.85,6.25,0.14,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
21.00,6.80,6.30,0.08,0
21.10,7.55,6.20,0.06,0
20.90,7.55,6.20,0.80,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
21.00,6.80,6.30,0.08,0
21.10,7.55,6.20,0.06,0
20.90,7.55,6.20,0.80,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
21.00,6.80,6.30,0.08,0
21.10,7.55,6.20,0.06,0
20.90,7.55,6.20,0.80,0
21.20,7.55,6.60,0.09,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
20.60,7.55,6.60,0.80,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.09,0
21.20,7.55,6.20,0.06,0
20.60,7.55,6.60,0.06,0
20.60,7.55,6.60,0.06,0
21.20,6.80,6.60,0.05,0
21.20,6.80,6.30,0.05,0
20.90,7.55,6.20,0.09,0
20.90,7.20,6.20,0.09,0
21.20,7.55,6.60,0.09,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
20.60,7.55,6.60,0.80,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.09,0
21.20,7.55,6.20,0.06,0
20.60,7.55,6.60,0.06,0
20.60,7.55,6.60,0.06,0
21.20,6.80,6.60,0.05,0
21.20,6.80,6.30,0.05,0
20.90,7.55,6.20,0.09,0
20.90,7.20,6.20,0.09,0
21.20,7.55,6.60,0.09,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
20.60,7.55,6.60,0.80,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.09,0
21.20,7.55,6.20,0.06,0
20.60,7.55,6.60,0.06,0
20.60,7.55,6.60,0.06,0
21.20,6.80,6.60,0.05,0
21.20,6.80,6.30,0.05,0
20.90,7.55,6.20,0.09,0
20.90,7.20,6.20,0.09,0
21.20,7.55,6.60,0.09,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.10,7.26,6.30,0.08,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
20.90,6.71,6.00,0.05,0
20.90,6.71,6.00,0.05,0
20.60,7.55,6.60,0.80,0
21.20,7.26,6.60,0.09,0
21.20,7.26,6.60,0.09,0
21.00,7.20,6.30,0.08,0
21.00,6.80,6.30,0.08,0
21.20,6.80,6.20,0.06,0
21.20,7.55,6.20,0.06,0
21.10,7.55,4.60,0.06,0
20.60,7.55,6.60,0.05,0
21.20,7.55,6.30,0.05,0
21.00,7.55,6.30,0.80,0
20.90,7.20,6.20,0.09,0
31.20,6.71,6.00,0.09,0
21.20,7.55,6.60,0.09,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.10,7.26,6.30,0.08,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
20.90,6.71,6.00,0.05,0
20.90,6.71,6.00,0.05,0
20.60,7.55,6.60,0.80,0
21.20,7.26,6.60,0.09,0
21.20,7.26,6.60,0.09,0
21.00,7.20,6.30,0.08,0
21.00,6.80,6.30,0.08,0
21.20,6.80,6.20,0.06,0
21.20,7.55,6.20,0.06,0
21.10,7.55,4.60,0.06,0
20.60,7.55,6.60,0.05,0
21.20,7.55,6.30,0.05,0
21.00,7.55,6.30,0.80,0
20.90,7.20,6.20,0.09,0
31.20,6.71,6.00,0.09,0
21.20,7.55,6.60,0.09,0
21.20,7.55,6.60,0.09,0
21.10,7.26,6.30,0.08,0
21.10,7.26,6.30,0.08,0
21.10,7.26,6.30,0.08,0
21.00,7.20,6.20,0.06,0
21.00,7.20,6.20,0.06,0
20.90,6.71,6.00,0.05,0
20.90,6.71,6.00,0.05,0
20.90,6.71,6.00,0.05,0
20.60,7.55,6.60,0.80,0
21.20,7.26,6.60,0.09,0
21.20,7.26,6.60,0.09,0
21.00,7.20,6.30,0.08,0
21.00,6.80,6.30,0.08,0
21.20,6.80,6.20,0.06,0
21.20,7.55,6.20,0.06,0
21.10,7.55,4.60,0.06,0
20.60,7.55,6.60,0.05,0
21.20,7.55,6.30,0.05,0
21.00,7.55,6.30,0.80,0
20.90,7.20,6.20,0.09,0
31.20,6.71,6.00,0.09,0
